"id","street_name","zip","value"
20171980454,"N MOPAC EXPY SVRD NB",78758,0.5
20171731577,"E CESAR CHAVEZ ST",78702,0.5
20173270429,"SABINE ST",78701,0.5
20175029826,"COMAL ST",78702,0.5
20173610892,"ELMONT DR",78741,0.5
20172220442,"W 4TH ST",78701,0.5
20176900033,"FAIRBANKS DR",78752,0.5
20171660021,"CHESTNUT AVE",78702,0.5
20172740686,"DECKER LN",78724,0.5
20172301389,"AMHERST DR",78759,0.5
2017961273,"S PLEASANT VALLEY RD",78744,0.5
20171862625,"KING EDWARD PL",78745,0.5
20171571526,"BURLESON RD",78741,0.5
20172871080,"OAK GROVE AVE",78702,0.5
20172060786,"E RIVERSIDE DR",78741,0.5
20171251185,"PAYTON GIN RD",78758,0.5
2017920205,"TRINITY ST",78701,0.5
2017530078,"CANTERBURY ST",78702,0.5
20172291147,"S PLEASANT VALLEY RD",78741,0.5
20173481012,"S IH 35 SVRD NB",78747,0.5
2017542035,"E RIVERSIDE DR",78741,0.5
2017511119,"RESEARCH BLVD SVRD NB",78727,0.5
20173261674,"E 51ST ST",78751,0.5
20172681014,"E ANDERSON LN SVRD EB",78753,0.5
20173111306,"W HOWARD LN",NA,0.5
2017551224,"LAMPLIGHT VILLAGE AVE",78727,0.5
20173160835,"S PLEASANT VALLEY RD",78741,0.5
20171361521,"E CESAR CHAVEZ ST",78702,0.5
20172880224,"N IH 35 SVRD SB",78701,0.5
20172961605,"RED OAK CIR",78753,0.5
20175017264,"W BEN WHITE BLVD SVRD EB",78745,0.5
20172650260,"BRAZOS ST",78701,0.5
20171871946,"E 51ST ST",78723,0.5
2017941054,"PARKER LN",78741,0.5
2017260198,"WINDSOR RD",78703,0.5
20178001409,"E 51ST ST",78751,0.5
20171780984,"DECKER LN",78724,0.5
2017481674,"BURNET RD",78756,0.5
20172321209,"MANCHACA RD",78745,0.5
20171130741,"CONGRESS AVE",78701,0.5
20171011470,"N LAMAR BLVD",78753,0.5
2017421742,"ELMONT DR",78741,0.5
20171021700,"S PLEASANT VALLEY RD",78741,0.5
20171381078,"N LAMAR BLVD",78703,0.5
20173500063,"AIRPORT BLVD",78722,0.5
20175051665,"THOME VALLEY DR",78617,0.5
20172811764,"E 12TH ST",78721,0.5
2017110225,"SPRINGDALE RD",78721,0.5
20171331765,"RED RIVER ST",78701,0.5
20171751264,"TRINITY ST",78701,0.5
20172571723,"W OLTORF ST",78704,0.5
20172990026,"ROSEWOOD AVE",78702,0.5
2017250091,"E 38TH HALF ST",78722,0.5
2017671609,"N IH 35 SVRD SB",78753,0.5
2017340221,"W SLAUGHTER LN",78748,0.5
20175051458,"E OLTORF ST",78741,0.5
20171260078,"WEBBERVILLE RD",78721,0.5
20171570913,"TRIANGLE AVE",78751,0.5
20172110510,"RIVERVIEW ST",78702,0.5
20171210167,"W BRAKER LN",78753,0.5
20172120100,"E 6TH ST",78702,0.5
20171381853,"CUMBERLAND RD",78704,0.5
2017332118,"OAK SPRINGS DR",78721,0.5
2017291612,"BURLESON RD",78617,0.5
20172271725,"W STASSNEY LN",78745,0.5
20171400106,"W WELLS BRANCH PKWY",78728,0.5
2017931551,"ED BLUESTEIN BLVD SVRD SB",78721,0.5
20172300058,"S 1ST ST",78748,0.5
20171041797,"FM 2222 RD",78730,0.5
20175040888,"E OLTORF ST",78741,0.5
20172060623,"N US 183 HWY SVRD NB",78729,0.5
20173120367,"FRANKLIN PARK DR",78744,0.5
20172931888,"MC NEIL DR",78727,0.5
2017471632,"ROGGE LN",78723,0.5
20173620983,"CAMERON RD",78723,0.5
2017201635,"W WILLIAM CANNON DR",78745,0.5
20173631554,"QUAIL MEADOW DR",78758,0.5
20171251441,"BOLM RD",78721,0.5
20171651797,"LAVACA ST",78701,0.5
20175043878,"QUARRY OAKS TRL",78717,0.5
20173041451,"RED RIVER ST",78701,0.5
2017310085,"E RUNDBERG LN",78753,0.5
2017450200,"E 5TH ST",78701,0.5
20178001510,"CAROLYN AVE",78705,0.5
20172760031,"W 4TH ST",78701,0.5
20172011604,"PECAN SPRINGS RD",78723,0.5
20172510633,"E ANDERSON LN SVRD EB",78752,0.5
2017400175,"CHICON ST",78702,0.5
20172951768,"N IH 35 SVRD SB",78753,0.5
20173190884,"W WILLIAM CANNON DR",78749,0.5
20171041979,"W RUNDBERG LN",78758,0.5
20171960224,"SAN ANTONIO ST",78701,0.5
20175007111,"E RUNDBERG LN",78753,0.5
20173450666,"S LAKESHORE BLVD",78741,0.5
20171251223,"HARMON AVE",78751,0.5
2017880217,"RED RIVER ST",78701,0.5
2017610556,"SPEEDWAY",78705,0.5
2017881764,"N IH 35 SVRD NB",78660,0.5
